Model Name产品名称（默认调用当前生产程序名）,Line Number 线体号（有界面可以自定义设置）,,,,,,,,
MYC-Y6ULY2V2-256N256D-50-I-AKEDL,0,,,,,,,,
Board Status（整板检测结果）,Pass（整板检测结果：GOOD，PASS，NG),Board BarCode 整板条码,NOREAD（条码内容：设备自动获取，没有条码时输出NOREAD）,,,,,,
ArrayID（拼版序号）,1,ArrayStatus,Good,ArrayBarCode（拼版条码）,有制作拼版条码时输出拼版条码内容，没有拼版条码时输出为空,,,,
ArrayID,2,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,3,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,4,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,5,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,6,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,7,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,8,ArrayStatus,Good,ArrayBarCode,,,,,
MYC-Y6ULY2V2-256N256D-50-I-AKEDL(2022-10-21 11:35:51 - 2022-10-21 11:36:04),,当前产品测试时间,,,,,,,
Total（整板元件数量）,711,NG（NG元件数量）,0,UserOK（人工复判OK元件数量）,3,Good（设备检测OK元件数量）,708,,
WorkTime测试时间,ImagePath（元件图片保存路径）,Board Barcode（整板条码）,Array Index（拼板序号）,Array BarCode（拼板条码）, Package Type（元件封装类型）,Component Index（元件料号）,Part Designate（元件位置号）,Result（元件检测结果）,Defect（不良类型）
2022/10/21 11:35,,NOREAD,1,,NULL,399953,C1,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399943,C102,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399957,C104,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399958,C124,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,3339,C125,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,6038,C129,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,3363,C130,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399967,C147,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,102594,C149,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,102753,C16,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,102738,C17,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399966,C2,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103219,C23,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103229,C24,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103522,C29,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103506,C31,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103511,C34,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103572,C37,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103617,C38,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103906,C43,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103665,C44,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103721,C45,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,6262,C46,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,6221,C47,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,172795,C5,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,104210,C50,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103792,C51,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103845,C52,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,104996,C55,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,105135,C56,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,6768,C57,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103798,C58,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,6993,C59,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,105132,C61,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,311961,C62,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,105446,C63,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,104207,C67,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,6423,C69,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,169,C7,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,103933,C71,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,3372,C72,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399960,C74,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,363875,C75,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,363887,C76,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,104889,C79,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,311971,C80,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,105261,C82,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399956,L4,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,143420,L9,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399949,R1,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,75275,R14,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399962,R18,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399945,R192,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,1137,R193,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,1145,R194,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399946,R2,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399955,R209,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399964,R210,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,117379,R211,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399950,R215,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399963,R216,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,61656,R217,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,61664,R218,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,61672,R219,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,75324,R222,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,75314,R245,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,75340,R247,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,1161,R28,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399948,R3,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,1169,R30,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,1552,R46,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,1560,R47,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,1568,R48,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,76353,R5,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399954,R6,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,75777,R66,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,76243,R67,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,132330,R8,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,75797,R81,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,419655,RR2,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,419656,RR3,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,419677,RR4,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,404196,U1,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,407158,U14,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,408544,U2,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399944,U4,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,405707,U5,Good,
2022/10/21 11:35,,NOREAD,1,,NULL,399947,U6,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,1968,C1,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,3380,C102,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,311991,C104,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,6011,C124,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,3388,C125,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,6043,C129,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,3412,C130,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,102584,C147,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,102602,C149,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,102816,C16,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,102792,C17,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,172835,C2,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103107,C23,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103716,C24,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103181,C29,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104253,C31,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104519,C34,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104565,C37,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103241,C38,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103524,C43,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103582,C44,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,105197,C45,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,6888,C46,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,6260,C47,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,172845,C5,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103821,C50,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103905,C51,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104133,C52,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104471,C55,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104645,C56,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,6909,C57,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,103936,C58,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,6978,C59,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104557,C61,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,312001,C62,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104697,C63,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,105601,C67,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,6443,C69,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2038,C7,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,105637,C71,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,3428,C72,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,363911,C74,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,363923,C75,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,363924,C76,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104093,C79,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,312011,C80,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,104781,C82,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,105227,C84,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,143428,L4,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,143436,L9,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,75099,R1,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,75252,R14,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,145633,R18,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2067,R192,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2068,R193,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2069,R194,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2070,R2,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2072,R209,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,117395,R210,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,117403,R211,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,146248,R215,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,61680,R216,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,61688,R217,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,61696,R218,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,61704,R219,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,75361,R222,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,75450,R245,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,76136,R247,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2087,R28,Good,
2022/10/21 11:35,F:\DataExport\MYC-Y6ULY2V2-256N256D-50-I-AKEDL\NOREAD_20221021113551\Component\SinicTek-AOI_NOREAD_1_2_20221021113551_20301.00049_R3_2_91.jpg,NOREAD,2,,NULL,2088,R3,Pass,共面性
2022/10/21 11:35,,NOREAD,2,,NULL,2089,R30,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2090,R46,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2091,R47,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,2092,R48,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,75501,R5,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,132338,R6,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,75712,R66,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,75715,R67,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,132346,R8,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,75933,R81,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,419719,RR2,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,419740,RR3,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,419761,RR4,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,405763,U1,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,407354,U14,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,408570,U2,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,378806,U4,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,405711,U5,Good,
2022/10/21 11:35,,NOREAD,2,,NULL,376752,U6,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2119,C1,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,3436,C102,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,312031,C104,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,6012,C124,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,3444,C125,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,6134,C129,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,3468,C130,Good,
