JobName,JobVersion,PCBID,PCBBarcode,PadID,ShapeType,ShapeID,PosX,PosY,SizeX,SizeY,Rotation,ABSArea,ABSVolume,ABSHeight,PerArea,PerVolume,PerHeight,ShiftX,PerShiftX,ShiftY,PerShiftY,JudgeRes,DefectType,Check,CheckArea,AreaU,AreaL,CheckVol,VolU,VolL,CheckHeight,HeightU,HeightL,CheckOffset,ShiftXU,ShiftXUPercent,ShiftYU,ShiftYUPercent,CheckShape,ShapeDeltaU,CheckStencilHeight,StencilHeight,CheckBridge,BridgeWidth,BridgeLength,BridgeHeight,ComponentID,PackageType,PinNumber,PadGroup,ArrayID,Squeege,SqueegeID,LotNo,ArrayBarcode,LineNo,InspectTimeStamp,ComponentIDAverageHeight,PadArea,ABSShape,LaneNo,AreaResult,VolumeResult,HeightResult,AreaStandard,VolumeStandard,AreaSection
LS16-B3A204311-PD,v202305221042190001900016,26829,,1,Poly,1,82933.0,250.0,500.0,500.0,0,204452.0,38997300.0,190.7,94.1%,99.7%,106.0%,22.8,4.6%,10.1,2.0%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,1,chip,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,36.1,1,Good,Good,Good,241500.0,43470000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,2,Poly,1,83832.0,250.0,500.0,500.0,0,197134.0,34787300.0,176.5,90.7%,88.9%,98.0%,18.5,3.7%,1.1,0.2%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,2,chip,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,33.3,1,Good,Good,Good,241500.0,43470000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,3,Poly,2,88642.0,1250.0,500.0,1600.0,0,669000.0,121378000.0,181.4,84.6%,85.2%,100.8%,24.1,4.8%,3.4,0.2%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,3,0603,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,35.3,1,Good,Good,Good,791199.9,142416000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,4,Poly,3,88642.0,7100.0,500.0,1300.0,0,541458.0,97885400.0,180.8,84.4%,84.8%,100.4%,20.9,4.2%,4.4,0.3%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,4,0603,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,35.2,1,Good,Good,Good,641549.9,115479000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,5,Poly,2,87752.0,7250.0,500.0,1600.0,0,640459.0,119895000.0,187.2,80.9%,84.2%,104.0%,16.4,3.3%,7.2,0.4%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,5,0603,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,36.4,1,Good,Good,Good,791199.9,142416000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,6,Poly,2,86862.0,7250.0,500.0,1600.0,0,643881.0,122248000.0,189.9,81.4%,85.8%,105.5%,16.2,3.2%,6.1,0.4%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,6,0603,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,37.0,1,Good,Good,Good,791199.9,142416000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,7,Poly,2,85972.0,7250.0,500.0,1600.0,0,649468.0,130040000.0,200.2,82.1%,91.3%,111.2%,16.6,3.3%,2.8,0.2%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,7,0603,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,39.0,1,Good,Good,Good,791199.9,142416000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,8,Poly,2,85082.0,7250.0,500.0,1600.0,0,654512.0,124245000.0,189.8,82.7%,87.2%,105.5%,16.2,3.2%,-0.5,0.0%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,8,0603,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,37.0,1,Good,Good,Good,791199.9,142416000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,9,Poly,1,78650.0,300.0,500.0,500.0,0,210626.0,34752800.0,165.0,96.9%,88.8%,91.7%,12.4,2.5%,7.1,1.4%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,9,chip,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,31.0,1,Good,Good,Good,241500.0,43470000.0,0.0
LS16-B3A204311-PD,v202305221042190001900016,26829,,10,Poly,1,79650.0,300.0,500.0,500.0,0,212227.0,32216000.0,151.8,97.6%,82.3%,84.3%,18.3,3.7%,6.4,1.3%,Good,,True,True,300.0%,50.0%,True,175.0%,40.0%,True,150.0%,50.0%,True,,25.0,,25.0,False,150.0,False,180.0,True,45.0,300.0,45.0,1,1,10,chip,17,Front,,,,SMT01,2023-05-23 13:15:11,175.0,0.0,28.4,1,Good,Good,Good,241500.0,43470000.0,0.0
