Model name 程序名,Line number 生产线,,,,,,,,,,,,,,,,,,
F19-A-TOP-115#,SMT01,,,,,,,,,,,,,,,,,,
Board Status 整板状态,NG （共四个状态：NG(最终确认为不良）/OK（设备测试为全部良品）/PASS（设备判定不良，人工判定可通过）/SKIP（忽略板）),Board Barcode 整板条码,,Bbarcode 副条码,,,,,,,,,,,,,,,
ArrayID拼板编号,1,Array Status 拼板状态,OK 共四个状态：NG(最终确认为不良）/OK（设备测试为全部良品）/PASS（设备判定不良，人工判定可通过）/SKIP（忽略板）),Array Barcode 拼板条码,ABarcode1,,,,,,,,,,,,,,
ArrayID,2,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,3,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,4,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,5,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,6,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,7,Array Status,SKIP,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,8,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,9,Array Status,OK,Array Barcode,ABarcode1,,,,,,,,,,,,,,
ArrayID,10,Array Status,NG,Array Barcode,ABarcode2,,,,,,,,,,,,,,
PadID,ComponentID,Type,Area(%),Height,Volume(%),XOffset,YOffset,PadSize(X),PadSize(Y),Area,Height(%),Volume,Result,Errcode,PinNum,Barcode,Date,Time,ArrayID
焊盘编号,位置编号,形状,面积百分比,高度绝对值,体积百分比,X偏移量,Y偏移量,焊盘宽,焊盘长,面积绝对值,高度百分比,体积绝对值,检测结果,不良代码，可以在设备上自定义,引脚编号,拼板条码,日期,时间,拼板编号
1,C8,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,1,BBarcode,20160616,134053,10
2,C8,C,306.2795,0,0,0.00341623,-0.003419647,0.32,0.32,0.3005623,0,0,NG,1024,2,BBarcode,20160616,134053,10
